"Size | Gaussian | Gaussian with choice from column | Gaussian with full choice | Gaussian with choice from row";;;
"Hilbert matrix";;;
"3 5.68434e-13 ";"3 0.00000000000056843419 ";"3 0.00000000000056843419 ";"3 0.00000000000056843419"
"4 0.00000000000329691829 ";"4 0.00000000000159161573 ";"4 0.00000000000329691829 ";"4 0.00000000000159161573"
"5 0.00000000103966613096 ";"5 0.00000000037800873542 ";"5 0.00000000108377662400 ";"5 0.00000000108377662400"
"6 0.00000005880508524569 ";"6 0.00000003060188191739 ";"6 0.00000004390392405185 ";"6 0.00000003274169557699"
"7 0.00000104743173778843 ";"7 0.00000080392840118293 ";"7 0.00000095148493528541 ";"7 0.00000106147757605868"
"8 0.00002125795742813352 ";"8 0.00001457469238630438 ";"8 0.00003803756794695801 ";"8 0.00003883106933244562"
"9 0.00017918482842560479 ";"9 0.00011811038234554871 ";"9 0.00034335939471930033 ";"9 0.00015654782077945129"
"10 0.00391230738352987828 ";"10 0.00667768564323978353 ";"10 0.00312083516303118813 ";"10 0.00529364140805910210"
"11 0.70389895793812229385 ";"11 0.82889895793812229385 ";"11 0.56069336377470335719 ";"11 0.72517537106921281520"
"12 13.96802133855783267791 ";"12 10.30658324892010568874 ";"12 10.96802133855783267791 ";"12 21.69341675107989431126"
"13 81.67083411741577947396 ";"13 140.86066309961518072669 ";"13 304.95568536639012791056 ";"13 124.95568536639012791056"
"14 922.87174863688267123507 ";"14 5556.37014922516937076580 ";"14 40732.90487302136898506433 ";"14 1385.96644375378582481062"
"15 536.34181777741378027713 ";"15 507.02442323743571250816 ";"15 809.92098365999800080317 ";"15 512.39801847766989340016"
"16 1565.23213158232738351217 ";"16 438.51959994925164210144 ";"16 360.93936914808085703044 ";"16 569.33402810866664367495"
"17 2094.77950306179900508141 ";"17 421.46110899069401511952 ";"17 1024.35845134610235618311 ";"17 800.86069915856273837562"
"18 3114.07708830669389499235 ";"18 20901.54836138782411580905 ";"18 3882.07708830669389499235 ";"18 1055.56404397802612038504"
"19 1386.15824829328721534694 ";"19 1753.76308218285566908889 ";"19 10271.65572051129129249603 ";"19 1120.34427948870893487765"
"20 1438.88320854440485163650 ";"20 1744.56477577451823890442 ";"20 10583.12953292724159837235 ";"20 909.58961708545200508524"
"21 1576.72295144047734538617 ";"21 2094.78051545972948588314 ";"21 21570.10654955641803098843 ";"21 3495.13333482068628654815"
"22 1264.09646649476917446009 ";"22 1115.03686832591756683541 ";"22 22764.06196778643061406910 ";"22 1992.34819075667678589525"
"23 4818.68452818257901526522 ";"23 1614.73811134078459872399 ";"23 15131.40292598279302183073 ";"23 3374.55375427871649662848"
"24 1526.73960570373537848354 ";"24 9119.00863848021617741324 ";"24 24553.08516451580726425163 ";"24 2145.21583604310444570729"
"25 14663.61532351915593608283 ";"25 8376.38467648084406391717 ";"25 13096.93079580223638913594 ";"25 2109.06157782350737761590"
"26 3129.64167208859771562857 ";"26 40428.01736069471371592954 ";"26 13629.66601469445231487043 ";"26 1858.18779140998958609998"
"27 3289.01201317692721204367 ";"27 1757.60227782353877046262 ";"27 10119.26629668998793931678 ";"27 9506.39772217646168428473"
"28 20534.97100276638229843229 ";"28 26353.40920629976608324796 ";"28 17083.89924107859769719653 ";"28 9652.16879821576549147721"
"29 1567.55503565611093108600 ";"29 5466.53837208009281312115 ";"29 5738.66715864775142108556 ";"29 4522.83595639785562525503"
"30 1631.13380687457220119541 ";"30 4647.14068245288945036009 ";"30 5352.29785047671612119302 ";"30 8324.51199733862267748918"
"31 1911.18025478868753452844 ";"31 7819.92554410543561971281 ";"31 149451.63481498119654133916 ";"31 5336.93168287953903927701"
"32 8212.92926275028366944753 ";"32 18910.28061582999362144619 ";"32 10702.02234494407821330242 ";"32 5454.02234494407730380772"
"33 4447.37679526367082871730 ";"33 8653.83158543791250849608 ";"33 6796.77018522879552619997 ";"33 9625.29800314330350374803"
"34 15256.20875678779884765390 ";"34 48508.63153572409646585584 ";"34 15376.41384515371828456409 ";"34 25219.36846427589989616536"
"35 7197.15772123688748251880 ";"35 13456.28382362624870438594 ";"35 3805.15772123688748251880 ";"35 4086.71810620777205258491"
"36 164046.96919071814045310020 ";"36 13618.92654665136979019735 ";"36 9609.19860278312080481555 ";"36 13193.19860278312080481555"
"37 1433.36355531837966736930 ";"37 11234.11969493242031603586 ";"37 45060.24278318148571997881 ";"37 49574.63644468162237899378"
"38 5620.51871466660850273911 ";"38 3297.18488506469157073298 ";"38 2035.28741389852348220302 ";"38 3575.51720167487746948609"
"39 7535.02130311495693604229 ";"39 6061.50068580056540668011 ";"39 5842.65365034651676978683 ";"39 42834.49931419943459331989"
